citing_paper,author_id
Szops: Scalar operations for error-bounded lossy compressor for scientific data,zh3foWUAAAAJ
Task-Adaptive Scientific Error-Bounded Lossy Compression,7X0j6LYAAAAJ
The (r) evolution of scientific workflows in the agentic ai era: Towards autonomous science,1JMwC1sAAAAJ
The (r) evolution of scientific workflows in the agentic ai era: Towards autonomous science,7VLhPOAAAAAJ
The (r) evolution of scientific workflows in the agentic ai era: Towards autonomous science,CrxeLiAAAAAJ
The (r) evolution of scientific workflows in the agentic ai era: Towards autonomous science,taujrLoAAAAJ
The (r) evolution of scientific workflows in the agentic ai era: Towards autonomous science,x9t36ewAAAAJ
Tight Lower Bounds on The Single-Error Detection Threshold for Analog Error-Correcting Codes,48xhWEwAAAAJ
Tight Lower Bounds on The Single-Error Detection Threshold for Analog Error-Correcting Codes,4cUP2_kAAAAJ
Tight Lower Bounds on The Single-Error Detection Threshold for Analog Error-Correcting Codes,zgk5dMoAAAAJ
Time-varying Vector Field Compression with Preserved Critical Point Trajectories,-JKuWIYAAAAJ
Time-varying Vector Field Compression with Preserved Critical Point Trajectories,6blhwnoAAAAJ
Time-varying Vector Field Compression with Preserved Critical Point Trajectories,QRj1QroAAAAJ
Time-varying Vector Field Compression with Preserved Critical Point Trajectories,_lXYqZUAAAAJ
Time-varying Vector Field Compression with Preserved Critical Point Trajectories,pLf2rx0AAAAJ
TopcDB: Two-Phase Compactable Lossy Compression for Timeseries Databases,XwVRvLIAAAAJ
Toward Efficient and Scalable Scientific Data Management through Quality-oriented Data Compression,6blhwnoAAAAJ
Transformer-based Scalable Beamforming Optimization via Deep Residual Learning,YBlhlncAAAAJ
Tspsz: An efficient parallel error-bounded lossy compressor for topological skeleton preservation,6blhwnoAAAAJ
Tspsz: An efficient parallel error-bounded lossy compressor for topological skeleton preservation,QRj1QroAAAAJ
Tspsz: An efficient parallel error-bounded lossy compressor for topological skeleton preservation,_lXYqZUAAAAJ
Tspsz: An efficient parallel error-bounded lossy compressor for topological skeleton preservation,pLf2rx0AAAAJ
Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,7X0j6LYAAAAJ
Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,8PGjapgAAAAJ
Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,MFWUo10AAAAJ
Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Op1bp3UAAAAJ
Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,lv5EK6AAAAAJ
Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,v1uvywcAAAAJ
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,AvanGFkAAAAJ
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,MFWUo10AAAAJ
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Op1bp3UAAAAJ
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,ZBWTUE_J-AYC
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,v1uvywcAAAAJ
UTOPIA: Unlearnable Tabular Data via Decoupled Shortcut Embedding,OjHzvJkAAAAJ
Unsupervised Incremental Learning Using Confidence-Based Pseudo-Labels,AQsxZlEAAAAJ
"VEUGM: Verifiable, Efficient and Universal GPU Performance Measurement in the Cloud",No_author_found
Variable rate neural compression for sparse detector data,aZyVAYwAAAAJ
Variable rate neural compression for sparse detector data,cKKYBlgAAAAJ
Variable rate neural compression for sparse detector data,ccdd1YoAAAAJ
Variable rate neural compression for sparse detector data,q-zZnvoAAAAJ
What to Support When You're Compressing,GbhfWUIAAAAJ
What to Support When You're Compressing,ovpBwPIAAAAJ
What to Support When You're Compressing,z5u02kIAAAAJ
What to Support When You're Compressing: The State of Practice Gaps and Opportunities for Scientific Data Compression,GbhfWUIAAAAJ
What to Support When You're Compressing: The State of Practice Gaps and Opportunities for Scientific Data Compression,ovpBwPIAAAAJ
What to Support When You're Compressing: The State of Practice Gaps and Opportunities for Scientific Data Compression,wdM8xCYAAAAJ
What to Support When You're Compressing: The State of Practice Gaps and Opportunities for Scientific Data Compression,z5u02kIAAAAJ
ZCCL: Significantly improving collective communication with error-bounded lossy compression,0UuCWq0AAAAJ
ZCCL: Significantly improving collective communication with error-bounded lossy compression,1sefeCkAAAAJ
ZCCL: Significantly improving collective communication with error-bounded lossy compression,7X0j6LYAAAAJ
ZCCL: Significantly improving collective communication with error-bounded lossy compression,Op1bp3UAAAAJ
ZCCL: Significantly improving collective communication with error-bounded lossy compression,lv5EK6AAAAAJ
ZCCL: Significantly improving collective communication with error-bounded lossy compression,zh3foWUAAAAJ
[BOOK][B] GPU-Accelerated Error-Bounded Lossy Compression for Scientific Data Toward Exascale Computing,Si2zZaIAAAAJ
[BOOK][B] ZCCL: Advancing Exascale Collective Communications with Co-Designed Compression,lv5EK6AAAAAJ
[CITATION][C] Session Summary Podcast: Session 15: Machine Learning: Methods,No_author_found
"[CITATION][C] Session Summary Podcast: Session 17: Anomaly Detection, Failure Management, and Resilience 1",No_author_found
[CITATION][C] Session Summary Podcast: Session 33: Compression and Data Reduction 2,No_author_found
cuhpx: Gpu-accelerated differentiable spherical harmonic transforms on healpix grids,MFWUo10AAAAJ
cuhpx: Gpu-accelerated differentiable spherical harmonic transforms on healpix grids,hNhELoYAAAAJ
cuhpx: Gpu-accelerated differentiable spherical harmonic transforms on healpix grids,tdJ4U4IAAAAJ
ghzccl: Advancing gpu-aware collective communications with homomorphic compression,AvanGFkAAAAJ
ghzccl: Advancing gpu-aware collective communications with homomorphic compression,lv5EK6AAAAAJ
ghzccl: Advancing gpu-aware collective communications with homomorphic compression,r8qwkW8AAAAJ
ghzccl: Advancing gpu-aware collective communications with homomorphic compression,z5u02kIAAAAJ
ghzccl: Advancing gpu-aware collective communications with homomorphic compression,zh3foWUAAAAJ
gzccl: Compression-accelerated collective communication framework for gpu clusters,1sefeCkAAAAJ
gzccl: Compression-accelerated collective communication framework for gpu clusters,7X0j6LYAAAAJ
gzccl: Compression-accelerated collective communication framework for gpu clusters,Op1bp3UAAAAJ
gzccl: Compression-accelerated collective communication framework for gpu clusters,lv5EK6AAAAAJ
gzccl: Compression-accelerated collective communication framework for gpu clusters,r8qwkW8AAAAJ
gzccl: Compression-accelerated collective communication framework for gpu clusters,zh3foWUAAAAJ
hzccl: Accelerating collective communication with co-designed homomorphic compression,1sefeCkAAAAJ
hzccl: Accelerating collective communication with co-designed homomorphic compression,7X0j6LYAAAAJ
hzccl: Accelerating collective communication with co-designed homomorphic compression,8PGjapgAAAAJ
hzccl: Accelerating collective communication with co-designed homomorphic compression,Op1bp3UAAAAJ
hzccl: Accelerating collective communication with co-designed homomorphic compression,lv5EK6AAAAAJ
hzccl: Accelerating collective communication with co-designed homomorphic compression,zh3foWUAAAAJ
lsCOMP: Efficient Light Source Compression,-MAkxpQAAAAJ
lsCOMP: Efficient Light Source Compression,GbhfWUIAAAAJ
lsCOMP: Efficient Light Source Compression,r8qwkW8AAAAJ
lsCOMP: Efficient Light Source Compression,tcm6kGIAAAAJ
lsCOMP: Efficient Light Source Compression,zh3foWUAAAAJ
{FlexPipe}: Maximizing training efficiency for transformer-based models with {Variable-Length} inputs,AvanGFkAAAAJ
{FlexPipe}: Maximizing training efficiency for transformer-based models with {Variable-Length} inputs,bERytNsAAAAJ
面向大规模 DNN 训练场景的容错技术综述.,No_author_found
